id,label
19995,0
285,0
206647,1
49026,0
49529,2
559,1
38757,1
99861,0
767,0
209112,1
1452,2
10764,1
58,0
57201,3
49521,1
2454,2
24428,0
1865,0
41154,1
122917,0
1930,1
20662,2
57158,0
2268,2
254,1
597,0
271110,0
44833,2
135397,0
37724,0
558,1
68721,0
12155,0
36668,2
62211,1
8373,1
91314,0
68728,2
102382,1
20526,2
49013,1
44912,3
10193,0
534,2
168259,0
72190,1
127585,1
54138,2
81005,3
64682,2
9543,2
68726,2
38356,0
217,1
105864,2
62177,1
188927,2
10681,1
5174,2
14161,1
17979,2
76757,3
258489,2
411,1
246655,1
155,0
14160,1
15512,2
1726,1
44826,3
8487,3
1735,2
297761,1
2698,3
137113,2
9804,2
14869,2
150540,1
278927,0
10138,1
58595,2
102651,1
119450,1
79698,4
64686,3
100402,1
10192,1
158852,3
177572,1
82690,2
5255,2
47933,2
10191,2
296,2
118340,1
157336,1
27205,1
315011,3
49051,0
9799,3
4922,2
49538,2
131634,1
27022,3
503,3
241259,2
810,1
68735,2
87101,2
10140,2
676,2
1858,1
1966,3
675,0
674,1
8960,1
6479,1
118,2
2062,1
272,2
10527,1
18360,2
2080,2
605,2
109445,0
604,1
76338,1
76341,2
13448,2
10195,2
13053,2
19585,2
57165,2
62213,2
177677,1
7978,4
5559,2
49444,1
10196,2
956,2
117251,3
50321,4
11619,4
266647,3
82703,2
652,2
80321,1
36669,2
43074,3
95,1
608,2
2310,3
140300,1
56292,1
81188,2
7552,3
616,2
147441,2
13475,2
557,1
82702,1
205584,3
10048,3
13183,3
944,2
1927,2
72559,2
7364,3
2114,3
1771,2
36643,2
8619,3
50620,1
65759,3
1724,3
267935,3
281957,1
77950,2
44896,2
270946,2
2503,2
9502,1
102899,1
101299,1
228161,2
74,1
8961,2
417859,1
27576,2
86834,2
17578,2
673,1
6972,4
82700,2
10567,2
181533,2
38055,2
671,0
49524,4
22,1
131631,1
591,1
172385,2
36658,2
51497,1
58574,2
18823,3
861,2
1911,4
49040,2
415,2
8871,2
435,1
955,1
2133,2
1979,2
87827,1
1250,3
324668,2
9471,2
70981,2
10996,3
68724,2
2789,3
97020,2
7459,3
42888,4
37834,2
75612,2
1895,1
1894,1
585,1
76170,2
1893,0
49519,1
2395,3
12100,3
290595,3
98566,2
49047,1
9619,3
308531,2
166424,3
1593,1
254128,2
714,2
2024,3
163,2
787,2
262500,2
2567,3
38745,2
40805,3
53182,2
41513,1
13700,3
262504,3
39254,2
77931,2
1639,3
80274,3
1571,2
120,1
10204,4
8489,3
10588,4
2048,2
1495,3
10137,2
10198,2
286217,1
1635,3
24113,4
9679,2
98,2
180,2
672,1
36557,1
869,2
280,1
11322,3
4982,2
36955,2
18487,3
39451,2
27581,3
9268,2
68718,2
10545,3
11688,3
76163,2
2059,2
2486,2
16523,3
116711,2
37710,2
9946,3
1372,3
106646,2
414,2
563,3
83542,3
41216,3
314,3
184315,2
9016,3
18162,4
138103,3
257088,3
10214,4
205775,3
11692,4
22972,3
227973,2
29193,4
1734,2
3131,3
76758,3
9408,3
9890,3
855,3
77953,3
18,2
37786,2
10501,3
57800,1
150689,1
7980,3
12,0
122,0
121,0
68737,3
1995,2
157353,3
331,2
61791,2
8204,3
47964,2
10733,4
9806,1
1408,4
32657,3
607,1
863,2
44048,3
5175,2
2655,3
22794,2
8355,1
116745,3
4327,2
1422,2
10674,2
7446,3
65754,3
1572,2
10528,1
271969,3
10865,3
258509,3
2253,3
10661,3
257344,2
644,3
10756,3
686,3
9383,3
179,3
76285,3
1996,3
291805,2
10003,3
1535,3
2067,4
46195,2
2277,3
10357,4
4477,3
8665,4
9387,3
921,3
49852,4
4464,3
664,2
8358,2
9836,2
2502,2
9772,2
161,2
52451,3
76492,2
4523,2
59961,3
10481,3
59108,3
1581,3
9798,2
22897,3
298,2
7484,3
157350,2
853,3
10159,3
9593,3
1904,3
9615,3
51052,4
297,3
9884,3
16858,4
62764,3
22538,4
9341,4
12107,3
9637,2
49049,4
9339,2
16281,4
39691,3
8247,3
11253,3
1949,3
8452,3
310,2
27578,2
954,2
70160,1
45243,2
364,2
7518,2
11544,3
9986,3
8656,3
146216,4
9291,3
55301,2
109418,2
11665,3
6964,2
11324,2
12193,3
9928,2
754,2
10202,3
4147,3
50546,3
1701,3
13027,3
2289,3
20504,3
9574,3
11618,3
2300,2
12096,4
10200,3
8834,3
228150,3
6068,3
41515,3
9023,3
38317,3
2157,3
14462,3
161795,4
159824,2
49948,3
2135,3
9822,4
9705,3
1656,3
12159,4
9678,4
4442,3
75,3
330770,4
9433,4
19959,3
11973,4
11228,3
77951,3
5491,4
10715,4
10197,4
9562,4
9922,4
9447,4
274854,3
8870,4
9992,3
36970,4
10077,4
76649,3
293644,4
453,2
8587,1
72545,2
109451,2
9533,3
2023,3
71880,3
584,3
309809,3
4858,4
17711,4
328111,1
8698,3
93456,0
602,1
330,3
953,1
9693,4
36657,2
8909,2
9802,2
950,1
1824,3
2976,3
11026,3
332,4
75656,3
38365,2
594,3
15189,4
11678,3
6538,3
10555,2
1125,3
4551,3
612,3
9567,3
37821,3
203801,3
2539,4
9297,3
3172,4
6520,3
1439,4
37958,3
2026,3
7450,4
11375,4
9425,4
25769,4
23685,4
11866,4
9741,2
211672,0
23629,3
8688,3
10153,4
153518,2
8676,3
20829,4
4349,3
9718,3
10808,3
197,3
25,3
35,1
11086,4
10477,4
1997,4
6947,2
3050,2
2675,2
809,0
920,2
4806,2
7451,2
228165,2
3595,2
16869,2
879,2
1573,2
9257,3
1903,3
9697,4
395,3
23398,2
10590,3
117263,3
200,3
44943,3
587,3
10395,4
57212,3
152760,3
2756,3
33909,3
49017,3
9882,3
2270,3
978,3
44564,4
3132,4
8814,4
8427,4
52520,3
80585,4
10592,4
49021,4
11535,4
10550,4
11258,4
12610,4
59981,4
201088,4
5137,4
3093,4
107846,3
188207,4
4614,3
24021,1
11371,4
20352,1
11517,4
214756,3
26428,4
9824,4
48988,3
9008,4
300673,4
12113,3
38778,3
72331,3
1844,3
846,3
9703,4
857,2
136797,3
3981,2
425,2
6171,3
72976,2
603,2
568,2
9021,3
82695,2
9489,2
12133,3
9342,2
41733,3
227306,3
5551,3
9350,2
9208,3
4244,4
1852,3
11820,4
76493,3
345,3
196867,3
256591,3
59962,3
36648,3
1880,4
9440,4
71679,2
10483,4
11412,3
11983,4
6795,4
550,3
11170,4
9292,4
10783,4
100241,4
257,4
9947,4
189,4
12618,4
253412,3
1427,3
818,2
16577,4
329,0
12160,4
9331,3
300168,3
9072,3
3536,3
9087,3
12177,4
12138,4
273248,3
9955,4
50359,3
1271,2
693,1
14306,2
497,2
11199,2
9982,2
210577,2
2501,3
710,2
2275,3
37165,2
9837,3
10708,3
136400,3
10992,3
9654,3
2642,3
8916,3
19899,3
2119,3
9641,3
294254,2
38167,3
5994,4
39514,4
9563,3
547,3
1538,3
9334,3
11128,4
75780,3
8914,4
13576,4
39538,3
10628,4
14836,3
8645,3
9509,3
10067,4
9384,3
9279,3
1487,3
9422,4
77174,3
4824,3
9620,3
9302,4
10199,4
10771,4
3512,3
137094,4
274479,3
267860,3
8078,3
7485,3
170687,3
6435,4
137106,2
10040,4
6278,4
82682,3
17610,4
22954,3
16995,3
16558,4
9849,4
5820,3
16866,3
201,4
11775,3
87825,4
12201,4
11015,4
9932,4
13389,4
8838,4
17332,4
4958,4
786,4
9513,3
11679,4
38321,3
14411,4
8413,4
10052,4
9676,4
9664,4
2100,4
10384,4
137321,4
123553,3
11260,4
9009,4
11374,4
2309,4
8285,4
210860,4
2312,4
9839,4
381902,3
13922,4
293660,1
9713,4
190859,1
257445,3
9007,3
889,4
1370,3
4942,4
347969,4
24438,3
116741,4
35791,2
72431,4
1813,3
87428,4
8840,3
10589,4
71676,3
1722,4
10022,3
11358,4
13,1
6477,2
1597,2
10530,2
1924,2
9327,3
8488,2
10603,4
8273,3
109424,3
35056,3
8839,2
156022,3
7303,3
8963,3
1402,2
9315,3
8984,3
795,3
24,3
11353,4
393,3
9618,4
9374,3
8584,4
2320,3
58224,3
1729,3
175574,3
8077,3
8818,3
8195,4
10586,4
116149,2
80035,4
10632,4
12117,4
1792,4
13260,4
72197,3
3580,3
12123,4
9566,4
9833,3
4517,4
8202,4
16072,4
34314,4
19724,4
145220,3
14623,4
42297,3
2841,4
802,4
10375,4
36586,3
11321,3
70074,4
242,3
9621,4
1819,3
8536,3
8046,4
1717,4
479,3
9444,3
824,3
11456,4
261023,3
3683,4
22803,3
285923,4
39437,4
1950,4
640,2
97630,3
9767,3
11631,1
32856,3
6519,3
8741,3
49520,3
1850,4
524,3
26389,4
11817,4
2123,3
9907,4
9969,4
18239,1
808,2
38050,3
8367,2
9390,2
72105,1
2898,2
10312,3
109443,3
2022,3
