id,label
19995,0
285,0
206647,0
49026,0
49529,1
559,0
38757,0
99861,0
767,0
209112,0
1452,1
10764,0
58,0
57201,2
49521,0
2454,1
24428,0
1865,0
41154,0
122917,0
1930,0
20662,1
57158,0
2268,1
254,0
597,0
271110,0
44833,1
135397,0
37724,0
558,0
68721,0
12155,0
36668,1
62211,0
8373,0
91314,0
68728,1
102382,0
20526,1
49013,0
44912,1
10193,0
534,1
168259,0
72190,1
127585,0
54138,1
81005,1
64682,1
9543,1
68726,1
38356,0
217,0
105864,1
62177,1
188927,1
10681,1
5174,1
14161,0
17979,1
76757,1
258489,1
411,0
246655,1
155,0
14160,0
15512,1
1726,0
44826,1
8487,1
1735,1
297761,0
2698,1
137113,1
9804,1
14869,1
150540,0
278927,0
10138,0
58595,1
102651,0
119450,0
79698,2
64686,1
100402,0
10192,0
158852,1
177572,0
82690,1
5255,1
47933,1
10191,1
296,1
118340,0
157336,0
27205,0
315011,2
49051,0
9799,1
4922,1
49538,1
131634,0
27022,1
503,1
241259,1
810,0
68735,1
87101,1
10140,1
676,1
1858,0
1966,1
675,0
674,0
8960,0
6479,0
118,1
2062,0
272,1
10527,0
18360,1
2080,1
605,1
109445,0
604,0
76338,0
76341,1
13448,1
10195,1
13053,1
19585,1
57165,1
62213,1
177677,0
7978,2
5559,1
49444,0
10196,1
956,1
117251,1
50321,2
11619,2
266647,2
82703,1
652,1
80321,0
36669,1
43074,1
95,0
608,1
2310,1
140300,1
56292,0
81188,1
7552,1
616,1
147441,1
13475,1
557,0
82702,0
205584,1
10048,2
13183,1
944,1
1927,1
72559,1
7364,2
2114,2
1771,1
36643,1
8619,1
50620,0
65759,1
1724,1
267935,1
281957,1
77950,1
44896,1
270946,1
2503,1
9502,0
102899,1
101299,0
228161,1
74,0
8961,1
417859,0
27576,1
86834,1
17578,1
673,0
6972,2
82700,1
10567,1
181533,1
38055,1
671,0
49524,2
22,0
131631,0
591,0
172385,1
36658,1
51497,0
58574,1
18823,1
861,1
1911,2
49040,1
415,1
8871,1
435,1
955,0
2133,1
1979,1
87827,0
1250,1
324668,1
9471,1
70981,1
10996,1
68724,1
2789,2
97020,1
7459,2
42888,2
37834,1
75612,1
1895,0
1894,0
585,0
76170,1
1893,0
49519,0
2395,2
12100,2
290595,1
98566,1
49047,0
9619,1
308531,1
166424,1
1593,0
254128,1
714,1
2024,1
163,1
787,1
262500,1
2567,2
38745,1
40805,1
53182,1
41513,0
13700,2
262504,1
39254,1
77931,1
1639,1
80274,2
1571,1
120,0
10204,2
8489,2
10588,2
2048,1
1495,1
10137,1
10198,1
286217,0
1635,1
24113,2
9679,1
98,1
180,1
672,0
36557,0
869,1
280,1
11322,1
4982,1
36955,1
18487,1
39451,1
27581,1
9268,1
68718,1
10545,2
11688,1
76163,1
2059,1
2486,1
16523,2
116711,1
37710,1
9946,1
1372,1
106646,1
414,1
563,2
83542,2
41216,2
314,2
184315,1
9016,2
18162,2
138103,1
257088,2
10214,2
205775,2
11692,2
22972,2
227973,1
29193,2
1734,1
3131,1
76758,2
9408,1
9890,2
855,1
77953,2
18,1
37786,1
10501,2
57800,0
150689,1
7980,2
12,0
122,0
121,0
68737,2
1995,1
157353,2
331,1
61791,1
8204,1
47964,1
10733,2
9806,0
1408,2
32657,1
607,0
863,1
44048,1
5175,1
2655,1
22794,1
8355,0
116745,1
4327,1
1422,1
10674,1
7446,1
65754,1
1572,1
10528,1
271969,2
10865,1
258509,1
2253,1
10661,1
257344,1
644,1
10756,1
686,1
9383,1
179,1
76285,1
1996,1
291805,1
10003,2
1535,2
2067,2
46195,1
2277,2
10357,2
4477,2
8665,2
9387,2
921,2
49852,2
4464,1
664,1
8358,1
9836,1
2502,1
9772,1
161,1
52451,2
76492,1
4523,1
59961,1
10481,1
59108,1
1581,1
9798,1
22897,1
298,1
7484,1
157350,1
853,2
10159,2
9593,2
1904,1
9615,1
51052,2
297,2
9884,2
16858,2
62764,1
22538,2
9341,2
12107,2
9637,1
49049,2
9339,1
16281,2
39691,2
8247,1
11253,1
1949,2
8452,2
310,1
27578,1
954,1
70160,0
45243,1
364,1
7518,1
11544,1
9986,2
8656,2
146216,2
9291,1
55301,1
109418,1
11665,1
6964,1
11324,1
12193,1
9928,1
754,1
10202,1
4147,1
50546,1
1701,1
13027,1
2289,1
20504,1
9574,1
11618,2
2300,1
12096,2
10200,1
8834,2
228150,1
6068,1
41515,1
9023,2
38317,1
2157,2
14462,2
161795,2
159824,1
49948,2
2135,2
9822,2
9705,1
1656,2
12159,2
9678,2
4442,2
75,2
330770,2
9433,2
19959,2
11973,2
11228,1
77951,2
5491,2
10715,2
10197,2
9562,2
9922,2
9447,2
274854,1
8870,2
9992,2
36970,2
10077,2
76649,2
293644,2
453,1
8587,0
72545,1
109451,1
9533,1
2023,2
71880,1
584,1
309809,2
4858,2
17711,2
328111,0
8698,1
93456,0
602,0
330,1
953,1
9693,2
36657,1
8909,1
9802,1
950,0
1824,1
2976,2
11026,2
332,2
75656,2
38365,1
594,1
15189,2
11678,1
6538,2
10555,1
1125,1
4551,2
612,2
9567,2
37821,2
203801,2
2539,2
9297,2
3172,2
6520,2
1439,2
37958,1
2026,2
7450,2
11375,2
9425,2
25769,2
23685,2
11866,2
9741,1
211672,0
23629,2
8688,2
10153,2
153518,1
8676,2
20829,2
4349,2
9718,1
10808,1
197,1
25,2
35,1
11086,2
10477,2
1997,2
6947,1
3050,1
2675,1
809,0
920,1
4806,1
7451,1
228165,1
3595,1
16869,1
879,1
1573,1
9257,2
1903,1
9697,2
395,1
23398,1
10590,2
117263,1
200,2
44943,1
587,2
10395,2
57212,1
152760,1
2756,2
33909,2
49017,1
9882,2
2270,2
978,2
44564,2
3132,2
8814,2
8427,2
52520,1
80585,2
10592,2
49021,2
11535,2
10550,2
11258,2
12610,2
59981,2
201088,2
5137,2
3093,2
107846,2
188207,2
4614,1
24021,0
11371,2
20352,1
11517,2
214756,1
26428,2
9824,2
48988,2
9008,2
300673,2
12113,2
38778,2
72331,2
1844,1
846,1
9703,2
857,1
136797,1
3981,1
425,1
6171,2
72976,1
603,1
568,1
9021,1
82695,1
9489,1
12133,2
9342,1
41733,1
227306,1
5551,2
9350,1
9208,1
4244,2
1852,1
11820,2
76493,1
345,1
196867,2
256591,1
59962,1
36648,2
1880,2
9440,2
71679,1
10483,2
11412,2
11983,2
6795,2
550,2
11170,2
9292,2
10783,2
100241,2
257,2
9947,2
189,2
12618,2
253412,1
1427,2
818,1
16577,2
329,0
12160,2
9331,1
300168,2
9072,2
3536,2
9087,2
12177,2
12138,2
273248,1
9955,2
50359,1
1271,1
693,1
14306,1
497,1
11199,1
9982,1
210577,1
2501,1
710,1
2275,1
37165,1
9837,1
10708,1
136400,2
10992,2
9654,1
2642,2
8916,1
19899,1
2119,1
9641,2
294254,1
38167,1
5994,2
39514,2
9563,2
547,1
1538,1
9334,1
11128,2
75780,1
8914,2
13576,2
39538,2
10628,2
14836,2
8645,1
9509,2
10067,2
9384,1
9279,2
1487,2
9422,2
77174,2
4824,1
9620,2
9302,2
10199,2
10771,2
3512,2
137094,2
274479,2
267860,1
8078,1
7485,2
170687,2
6435,2
137106,1
10040,2
6278,2
82682,2
17610,2
22954,2
16995,2
16558,2
9849,2
5820,2
16866,2
201,2
11775,2
87825,2
12201,2
11015,2
9932,2
13389,2
8838,2
17332,2
4958,2
786,2
9513,2
11679,2
38321,2
14411,2
8413,2
10052,2
9676,2
9664,2
2100,2
10384,2
137321,2
123553,2
11260,2
9009,2
11374,2
2309,2
8285,2
210860,2
2312,2
9839,2
381902,1
13922,2
293660,0
9713,2
190859,1
257445,1
9007,2
889,2
1370,1
4942,2
347969,2
24438,2
116741,2
35791,1
72431,2
1813,1
87428,2
8840,2
10589,2
71676,1
1722,2
10022,2
11358,2
13,0
6477,1
1597,1
10530,1
1924,1
9327,2
8488,1
10603,2
8273,1
109424,2
35056,1
8839,1
156022,1
7303,1
8963,1
1402,1
9315,1
8984,1
795,1
24,1
11353,2
393,1
9618,2
9374,1
8584,2
2320,2
58224,1
1729,2
175574,2
8077,1
8818,2
8195,2
10586,2
116149,1
80035,2
10632,2
12117,2
1792,2
13260,2
72197,2
3580,2
12123,2
9566,2
9833,1
4517,2
8202,2
16072,2
34314,2
19724,2
145220,2
14623,2
42297,2
2841,2
802,2
10375,2
36586,1
11321,1
70074,2
242,2
9621,2
1819,2
8536,1
8046,2
1717,2
479,2
9444,2
824,1
11456,2
261023,2
3683,2
22803,2
285923,2
39437,2
1950,2
640,1
97630,2
9767,1
11631,0
32856,1
6519,2
8741,2
49520,2
1850,2
524,2
26389,2
11817,2
2123,1
9907,2
9969,2
18239,0
808,1
38050,2
8367,1
9390,1
72105,0
2898,1
10312,1
109443,1
2022,1
